GID_2,fips,RUCC_2013,rucc_grouped,pop_size,perc_african_american,perc_latino_hispanic,perc_unemployed,perc_graduated,perc_urban_pop,entropy_coloc,entropy_sci,extroversion_coloc,extroversion_sci,proximity_rep_coloc,proximity_dem_coloc,proximity_rep_sci,proximity_dem_sci,proximity_rep_comm,proximity_dem_comm,proximity_rep_res,proximity_dem_res,perc_nv_rep,perc_nv_dem,n_swing,n_swing_0820,segregation_off,segregation_on,segregation_res
USA.18.67_1,21133,9,4,21784.0,0.00413147264047,0.009226955563716,0.100092678405931,0.11789905,0.0,0.2011026570397466,0.3056939505083578,0.4331,0.6976,0.7713,0.1933,0.7524,0.1956,0.7838999999999999,0.1935,0.2882,0.694,0.789,0.1867,0,0,0.8051791819678358,0.8098973188819167,0.24889584614524518
USA.18.68_1,21135,8,4,13103.0,0.000686865603297,0.000534228802564,0.079806807727691,0.11654622,0.0,0.220944068316071,0.2730126370091324,0.5098,0.6817,0.7412,0.2241999999999999,0.7268,0.2225,0.7388,0.2392999999999999,0.7314,0.2444,0.7895,0.1898,0,0,0.7665569203494998,0.7724614945807188,0.7480292950187287
USA.18.69_1,21137,7,3,24314.0,0.020194126840503,0.017849798470017,0.059134706215757,0.10588694,0.0011,0.2476562894152421,0.382340682524494,0.8142,1.6871,0.7197,0.2445,0.7036,0.231,0.7503,0.2271,0.5055,0.4554,0.7488,0.2279,0,0,0.7400911738634924,0.7498573873359955,0.5037736903896685
USA.18.70_1,21139,9,4,8989.0,0.006897318945378,0.022916898431416,0.068351818416301,0.10683747,0.0466,0.23754871938366,0.3381799435345857,0.6046,1.2054,0.7268,0.2323,0.7094,0.2279,0.735,0.242,0.3269,0.6301,0.7516,0.2257,0,0,0.752311004178802,0.7562036508841985,0.306255940068206
USA.18.71_1,21141,6,3,27319.0,0.062154544456239,0.029759508034701,0.053640463917526,0.10521862,0.2421,0.2091812874770216,0.3407342426255573,0.4269,0.861,0.6887,0.2719,0.667,0.2594,0.6923,0.2857,0.3532,0.5934,0.7014,0.2778,0,0,0.7031151070026592,0.7035082715345122,0.3414770503717784
USA.18.72_1,21143,9,4,8700.0,0.050459770114943,0.024712643678161,0.032357473035439,0.11604782,0.0,0.2133737612797231,0.3359491674290674,0.4077,1.4154,0.6792,0.2726,0.6827,0.2562,0.6919,0.2889,0.329,0.6271,0.6885,0.2932,0,0,0.6966569583386095,0.7169851682829436,0.30910717280706657
USA.18.73_1,21151,4,2,92194.0,0.041347593118858,0.026541857387682,0.060600283832158,0.27578029,0.6381,0.3024992155763426,0.567736329305176,0.815,3.9956,0.6572,0.2968,0.6672,0.2443,0.6803,0.2910999999999999,0.4687,0.4486,0.6278,0.3385,0,0,0.6674053438014436,0.7144181403308614,0.48700173310225303
USA.18.74_1,21153,9,4,11818.0,0.000338466745642,0.012184802843121,0.11232799775344,0.10593449,0.0,0.2021216404756183,0.2152120924389969,0.4339,0.445,0.7302,0.2395,0.7247,0.2369,0.7303000000000001,0.2514,0.3376,0.6606,0.735,0.248,0,0,0.7499050272255287,0.7606959498003423,0.2951864482585118
USA.18.75_1,21155,7,3,19556.0,0.068981386786664,0.028022090407036,0.056306037059175,0.11483054,0.3171,0.1620267646195407,0.2888061338868715,0.3325,1.0252,0.6289,0.3394999999999999,0.6408999999999999,0.3105,0.6422,0.3366,0.2284,0.7489,0.6118,0.3674,0,0,0.6224515638850197,0.6484597832287506,0.1847710627830268
USA.18.76_1,21157,7,3,31662.0,0.008780241298718,0.017749984208199,0.035261629965305,0.14932323,0.1482,0.3028152129014181,0.4059346741365208,1.0756,1.4528,0.6971,0.2557999999999999,0.6757,0.2486,0.718,0.2573,0.3478,0.6047,0.7183,0.2569,0,0,0.7186273268329746,0.7174130062749572,0.3321406608151171
